"slug","verdict","genre","overallAvg","overallPriority","titleAvg","titlePriority","currentTitle","titleLength","titleOk","metaAvg","metaPriority","currentMeta","metaLength","metaOk","sonnet_titleScore","sonnet_suggestedTitle","sonnet_metaScore","sonnet_suggestedMeta","gemini_titleScore","gemini_suggestedTitle","gemini_metaScore","gemini_suggestedMeta","grok_titleScore","grok_suggestedTitle","grok_metaScore","grok_suggestedMeta"
"arrival","Too Close to Call","Science Fiction","2.7","high","4.3","high","Story of Your Life Book vs Movie","32","ok","1","high","","","ok","2","Story of Your Life vs Arrival: Chiang's Language, Villeneuve's Grief","1","Chiang's story is about language reshaping thought. Villeneuve's film is about grief and choice. Both transcendent—read first.","5","Arrival: Book vs Movie (Story of Your Life's Big Change)","1","The film 'Arrival' is based on the novella 'Story of Your Life.' We break down the key changes, the different endings, and which version is better.","6","Story of Your Life Book vs Movie: Mind-Bending","1","Chiang's story reshapes time; Villeneuve's film stuns. Which wins? Dive into our comparison now!"
"blade-runner","Film Wins","Science Fiction / Noir","2.8","high","4.5","high","Do Androids Dream of Electric Sheep? Book vs Movie","50","ok","1","high","","","ok","2","Do Androids Dream vs Blade Runner: Dick's Empathy, Scott's Noir","1","Dick's novel asks what makes us human. Scott's film is the most beautiful sci-fi noir ever made. Film wins—but read the book too.","","","","","7","Androids Dream Book vs Movie: Noir vs Soul","1","Dick's book probes android souls; Blade Runner redefines noir. Which wins? Read our analysis!"
"lady-chatterleys-lover","Film Wins","Literary Fiction / Romance","3","high","5","high","Lady Chatterley's Lover Book vs Movie","37","ok","1","high","","","ok","5","Lady Chatterley's Lover Book vs Movie: Corrin Fixes Lawrence's Prose","1","Lawrence's novel is preachy and dated. Corrin's 2022 film makes the affair feel urgent and modern. Watch the film first.","5","Lady Chatterley's Lover: Why the 2022 Movie Beats the Book","1","Lady Chatterley's Lover book vs movie: The 2022 Netflix film captures the passion without the novel's dated prose. See why the movie finally wins.","5","Lady Chatterley's Lover: Book vs Movie Clash","1","Lady Chatterley's Lover: Film shines, but book’s passion wins. Which is better? Find out!"
"the-haunting-of-hill-house","Too Close to Call","Horror / Drama","3.3","high","5.7","medium","The Haunting of Hill House: Jackson vs Flanagan — Book vs Series","64","TOO LONG","1","high","Shirley Jackson","15","ok","7","Haunting of Hill House Book vs Series: Jackson vs Flanagan","1","Jackson's psychological horror vs Flanagan's family trauma. Both are masterpieces of dread, different engines. Start with either.","5","Haunting of Hill House: Book vs Series — Jackson vs Flanagan","1","Jackson's novel is a masterclass in psychological horror. Flanagan's series is a heartbreaking family drama. We compare the two and declare a winner.","5","Hill House Book vs Series: Jackson's Terror","1","Jackson's subtle horror vs Flanagan's drama. Discover which wins!"
"the-book-thief","Book Wins","Historical Fiction / War Drama","3.5","high","3","high","The Book Thief Book vs Movie: Death Tells You Who Dies. The Film…","65","TOO LONG","4","high","Zusak's narrator announces deaths pages before they happen—a formal choice that makes the novel devastating. Percival's film is beautiful but ordinary.","151","TOO LONG","3","The Book Thief Book vs Movie: Death Narrates—Film Can't","6","Zusak's Death narrator announces deaths pages early—devastating. Percival's film is beautiful but can't replicate that formal power.","3","The Book Thief: Book vs Movie — Why the Narrator Matters","3","The book uses its narrator to announce deaths early, a devastating choice the film can't replicate. See why the book's unique structure wins.","3","The Book Thief Book vs Movie: Death's Unique Voice","3","Zusak's Death narrator shocks; the film feels ordinary. Discover why the book wins!"
"i-am-legend","Book Wins","Science Fiction / Horror","3.7","high","6.3","medium","I Am Legend: Book vs Film — Matheson's Ending Inverts Everything","64","TOO LONG","1","high","Richard Matheson","16","ok","9","I Am Legend Book vs Movie: Matheson's Ending Inverts Everything","1","Matheson's ending makes Neville the monster. The film makes him a hero. That inversion is the entire point. Read the book first.","4","I Am Legend: Book vs Movie (Why the Original Ending Is Better)","1","The film gives you a hero's sacrifice. The book's original ending is a shocking inversion of who the *real* monster is. See why it changes everything.","6","I Am Legend Book vs Film: Shocking Ending","1","Matheson's book inverts everything with its ending; film misses it. Which wins? Check our I Am Legend review!"
"pride-and-prejudice","Book Wins","Literary Fiction / Classic Romance","3.7","high","3","high","Pride and Prejudice Book vs Movie: Austen's Irony Dies the Momen…","65","TOO LONG","4.3","high","Wright made a beautiful film. Macfadyen's Darcy is perfect. But Elizabeth's interior voice—the thing that makes the novel great—can't survive on screen.","152","TOO LONG","3","Pride and Prejudice Book vs Movie: Elizabeth's Irony Dies","4","Macfadyen's Darcy is perfect, but Elizabeth's interior irony—what makes Austen great—can't survive on screen. Book wins.","3","Pride and Prejudice Book vs Movie: Why Austen's Irony Is Lost","3","The 2005 film is beautiful, but it loses Elizabeth Bennet's sharp internal voice—the source of Austen's genius. We explain why the book still wins.","3","Pride and Prejudice: Book vs Movie Irony","6","Pride and Prejudice book vs movie: Austen's wit beats film's charm. Which wins? Compare now!"
"where-the-crawdads-sing","Book Wins","Mystery / Literary Fiction","4.5","high","3","high","Where the Crawdads Sing Book vs Movie: Crawdads: Owens' Fireflie…","65","TOO LONG","6","medium","Edgar-Jones is excellent. The marsh is beautiful. But this is a novel about growing up inside a landscape, and that feeling only exists on the page.","148","ok","3","Where Crawdads Sing Book vs Movie: Marsh Feeling Only on Page","5","Edgar-Jones is excellent and the marsh beautiful. But Owens' novel about becoming the marsh itself only works on page. Read first.","3","Crawdads Sing: Book vs Movie (Why the Marsh Felt Different)","6","The film is beautiful and well-acted, but it can't capture the feeling of growing up *inside* a landscape. See why this internal story makes the book win.","3","Where the Crawdads Sing Book vs Movie: Marsh","7","Owens' Crawdads lives in the marsh; the film can't capture it. Which wins? Read the book first and compare!"
"divergent","Book Wins","Young Adult / Dystopian","4.7","high","3","high","Divergent Book vs Movie: Roth's Tris Questions Herself. Woodley …","65","TOO LONG","6.3","medium","The novel gives you a narrator who doubts her own choices. The film gives you a hero who looks conflicted. Read the book first.","127","ok","3","Divergent Book vs Movie: Tris Doubts Herself in the Novel","5","Roth's Tris questions every choice inside her head. Woodley's just looks conflicted. The internal spiral is everything.","3","Divergent: Book vs Movie (Why the Book's Self-Doubt Matters)","7","The film shows a conflicted hero, but the book puts you inside a narrator who doubts her choices. See our full breakdown & why the book wins.","3","Divergent Book vs Movie: Tris' Inner Conflict Wins","7","Roth's Tris doubts herself in the book; film shows mere conflict. Which is better? Check our Divergent analysis!"
"the-time-travelers-wife","Book Wins","Romance / Science Fiction","4.7","high","3","high","The Time Traveler's Wife Book vs Movie: The Date Headings Are th…","65","TOO LONG","6.3","medium","Schwentke linearised the romance and lost what makes Niffenegger's novel devastating. Every scene means differently because of what surrounds it.","145","ok","3","Time Traveler's Wife Book vs Movie: Why Structure Matters","6","Schwentke linearized the romance and lost Niffenegger's devastating structure. Every scene's meaning depends on what surrounds it.","3","Time Traveler's Wife: Book vs Movie (Why Order Matters)","6","The film tells the story in order, but the book's non-linear structure is the whole point. Find out why this change ruins the story & the book wins.","3","Time Traveler's Wife Book vs Movie: Dates","7","Niffenegger's Time Traveler's Wife devastates with structure; the film loses it. Which wins? Compare with us now!"
