"slug","pageTitle","metaDesc","winner","oneLineReason","titleChars","metaChars","flags"
"a-beautiful-mind","A Beautiful Mind: Nasar Owns the Truth. Howard Owns the Terror.","The biography gives you Nash's full life—the cruelty, the brilliance, the decades of illness. The film gives you what it feels like to lose reality.","Too Close to Call","Nasar's biography owns Nash's full truth; Howard's film owns the terror of losing your mind.","63","148",""
"a-knight-of-the-seven-kingdoms","A Knight of the Seven Kingdoms: Martin's Warmth vs HBO's World","Martin gave Westeros heart in three novellas. HBO gave it scale and faces. Both versions are irreplaceable—read and watch in any order.","Too Close to Call","Martin's prose warmth versus HBO's fully realised world—each irreplaceable.","62","135",""
"a-little-life","A Little Life: Yanagihara's 700 Pages Can't Fit in Two Hours","Van Hove's film compresses what only works through accumulation. The novel's slow devastation becomes rushed suffering. Read the book.","Book","The novel's 700-page accumulation of trauma cannot survive two-hour compression.","60","134",""
"a-man-called-ove","A Man Called Ove: Without His Inner Voice, He's Just Grumpy","Hannes Holm's film captures the warmth. It can't capture the caustic brilliance that makes Ove more than a curmudgeon. Read the book first.","Book","Ove's caustic internal monologue exists only on the page.","59","139",""
"a-walk-to-remember","A Walk to Remember: Sparks's 1950s Grief Earns What Moore Can't","The novel's retrospective voice and period setting make the loss feel earned. The 2002 film is easier to cry at—but harder to believe.","Book","Retrospective narration and 1950s setting earn emotional weight the film cannot replicate.","63","134",""
"about-a-boy","About a Boy: Hornby Owns Marcus. Grant Owns Will.","The novel gets inside Marcus's head in ways the film can't. The film gives Will a face Hornby never quite managed. Both are essential.","Too Close to Call","Hornby's prose owns Marcus's strangeness; Grant owns Will's weaponized charm.","49","134",""
"all-quiet-on-the-western-front","All Quiet: Remarque's Voice vs Berger's Armistice Framing","Remarque wrote from the trenches in first person. Berger made the first honest German-language film. Both are irreplaceable. Read first.","Too Close to Call","Remarque's first-person voice irreplaceable; Berger's German perspective and armistice framing irreplaceable.","57","136",""
"all-the-light-we-cannot-see","All the Light: Doerr Makes You See Through Marie-Laure's Hands","Netflix captured the plot. It can't capture the prose that turns blindness into a way of knowing the world. Read the book first.","Book","Doerr's prose renders Marie-Laure's blindness as heightened perception; no camera can replicate that.","62","128",""
"along-came-a-spider","Along Came a Spider: Jezzie's Betrayal Only Works on the Page","Patterson's Jezzie twist devastates. The film turns her into a generic corrupt cop. Soneji's fractured mind? Gone. Read the book first.","Book","Jezzie's betrayal and Soneji's fractured psychology exist only on the page.","61","135",""
"american-gods","American Gods: The Series Was Cancelled. The Book Has an Ending.","Fuller's first season is visually stunning. Then the show collapsed and left Gaiman's mystery unfinished. Read the book—it actually ends.","Book","The novel completes its mystery; the series was cancelled unresolved.","64","137",""
"american-psycho","American Psycho: Ellis's Bateman Is Unfilmable. Harron Knew It.","The novel's violence and unreliable narration can't survive adaptation. Harron made a sharp satire instead. Read Ellis first—it's still radical.","Book","Ellis's unreliable narrator and graphic violence exist only on the page.","63","144",""
"animal-farm","Animal Farm: Orwell's 80 Pages Are Perfect. Serkis Had to Add.","The novella is surgical. The film is sincere and beautiful. But every scene Serkis adds to reach feature length dilutes what Orwell kept spare.","Book","Orwell's prose economy — eighty pages of surgical precision — cannot be expanded without loss.","62","143",""
"annihilation","Annihilation: VanderMeer's Nameless Voice Is What Garland Lost","Garland made one of the most beautiful sci-fi films in years. He still can't replicate VanderMeer's unnamed narrator. Read the book first.","Book","The biologist's unnamed first-person voice cannot be filmed.","62","138",""
"atonement","Atonement: Read It First or Briony's Confession Means Nothing","Wright made one of the most beautiful films of the 2000s. It still can't do what McEwan does on the page. Read the book first.","Book","The metafictional ending only works on the page.","61","126",""
"band-of-brothers","Band of Brothers: Ambrose Owns the Record. HBO Owns the War.","The book is history. The series is the finest combat television ever made. You need both. Either order works.","Too Close to Call","Ambrose's history owns the record; the series owns the visceral experience of combat.","60","109",""
"beloved","Beloved: Morrison's Fragments Enact Trauma. Demme Just Shows It.","The novel's structure is the trauma—nonlinear, circling, refusing closure. Demme's film proceeds chronologically. Read the book first.","Book","Morrison's fragmented prose enacts trauma; film must proceed chronologically.","64","134",""
"big-fish","Big Fish: Wallace's Gaps vs Burton's Daffodils—Both Essential","Wallace wrote spare melancholy. Burton made visual extravagance. Each owns something the other can't touch. Read or watch first—both work.","Too Close to Call","Wallace's gaps exist only on the page; Burton's daffodils only on screen.","61","138",""
"big-little-lies-hbo","Big Little Lies: Moriarty's Wit vs. Kidman's Wrecked Perfection","The novel is funnier. The series is more devastating. Vallée's Monterey sharpens what Moriarty kept light. Both versions earn their ending.","Too Close to Call","Moriarty's comic voice sustains on the page; Kidman's performance deepens the screen.","63","139",""
"breakfast-at-tiffanys","Breakfast at Tiffany's: Capote Lets Her Go. Hepburn Stays.","The novella ends with Holly vanished and unknowable. The film ends with a kiss in the rain. Both choices are perfect for what they are.","Too Close to Call","Capote's ambiguous ending honors Holly's restlessness; Hepburn's icon transcends the source.","58","135",""
"bridgerton","Bridgerton: Quinn's Intimacy Beats the Series's Spectacle","The show is gorgeous. But Quinn keeps you inside Daphne and Simon's negotiation in ways the series can't. The book's focus wins.","Book","Quinn's tighter focus on Daphne and Simon's emotional negotiation outweighs the series's spectacle.","57","128",""
"brooklyn","Brooklyn: What Eilis Doesn't Say Is What Tóibín Does Best","Ronan's performance is luminous. But the novel's power lives in the silence between feeling and speech—something no actor can show.","Book","Tóibín's prose restraint—the gap between what Eilis feels and says—cannot be replicated on screen.","57","131",""
"catch-22","Catch-22: Heller's Circles Are the Point. Nichols Just Repeats.","The novel loops back on itself until war's logic collapses. The film gives you the scenes without the trap. Read the book first.","Book","The novel's circular structure is the formal argument itself.","63","128",""
"catch-me-if-you-can","Catch Me If You Can: Abagnale Teaches Crime. Spielberg Invents Heart.","The memoir shows you how the cons worked. The film gives Frank a father worth chasing. Both are essential for different reasons.","Too Close to Call","Book teaches fraud mechanics; film owns the emotional father-son story Spielberg invented.","69","128","TITLE_LONG(69)"
"cold-mountain","Cold Mountain: Frazier's Sentences Walk. Minghella's Just Show.","The novel's rhythm is the journey—long, rolling sentences that enact Inman's walk home. The film can only photograph it. Read the book first.","Book","Frazier's prose rhythm—long rolling sentences mimicking the walk itself—is inseparable from meaning.","63","141",""
"contact","Contact: Sagan's Pi Ending Can't Be Filmed. Foster Can't Be Read.","The novel ends with a mathematical proof of God. The film ends with Jodie Foster's face. Both are transcendent. Read first, then watch.","Too Close to Call","Sagan's pi revelation exists only on the page; Foster owns the screen.","65","135",""
"da-vinci-code","The Da Vinci Code: Brown's Cliffhangers Make It Unputdownable","Howard made a handsome film. Brown made a thriller you physically cannot stop reading. The book is an experience the movie just describes.","Book","Brown's chapter-ending cliffhangers create puzzle-solving momentum the film cannot replicate.","61","138",""
"daisy-jones-and-the-six","Daisy Jones: Reid's Oral History Does What the Series Can't","The contradictions between band members create the truth in Reid's novel. The series just dramatizes it. Read the book first.","Book","The oral history format—truth assembled from contradictory testimony—only works on the page.","59","125",""
"dark-matter","Dark Matter: Crouch's Velocity vs Edgerton's Two Jasons","The novel is propulsive in ways TV can't be. Edgerton does things with Jason's split that prose can't. Both are essential.","Too Close to Call","Novel's velocity versus Edgerton's dual performance—each irreplaceable.","55","122",""
"devil-wears-prada","The Devil Wears Prada: The Book's Andy Deserves Your Judgment","Weisberger wrote a protagonist who sells out and knows it. The film made her sympathetic. That's the whole problem. Read the book first.","Book","Weisberger's Andy is morally compromised; the films softened her into sympathy.","61","136",""
"divergent","Divergent: Roth's Tris Questions Herself. Woodley Just Acts.","The novel gives you a narrator who doubts her own choices. The film gives you a hero who looks conflicted. Read the book first.","Book","Tris's first-person voice carries moral ambivalence the film's screenplay cannot match.","60","127",""
"doctor-sleep","Doctor Sleep: King's Recovery Arc Is What Flanagan Can't Film","McGregor nails Danny. But King spends 500 pages inside an addict's mind in ways no film can match. The book earns what the film rushes.","Book","King's recovery narrative and True Knot backstory exceed what film can hold.","61","135",""
"dracula","Dracula: Stoker Never Shows the Monster. That's Why It Works.","Coppola's Dracula is gorgeous, operatic, everywhere. Stoker's is fragments, terror, absence. The novel is stranger and more frightening.","Book","Stoker's epistolary format renders Dracula through terrified fragments; Coppola shows him constantly, romantically.","61","136",""
"dune","Dune: Herbert Makes Paul a Villain. Villeneuve Makes Him a Hero.","The book is an argument about power and prophecy. The film is a spectacle that gestures toward it. Read Herbert first or miss the point.","Book","Herbert makes Paul's complicity explicit; the films leave it ambiguous.","64","136",""
"eat-pray-love","Eat Pray Love: Gilbert's Wit Lives on the Page. Roberts Just Travels.","Murphy made a beautiful travelogue. Gilbert wrote a memoir of intellectual rigor and self-awareness Roberts can't touch. Read the book first.","Book","Gilbert's voice—witty, self-aware, intellectually rigorous—exists only on the page.","69","141","TITLE_LONG(69)"
"enders-game-film","Ender's Game: Hood Shows the War. Card Shows the Child Breaking.","The Battle Room looks stunning. But Card's novel lives inside Ender's mind as it's weaponized—something no film can do. Read the book first.","Book","The novel's sustained interiority cannot exist on screen.","64","140",""
